agent_id,supplier_id,Destination,Booking date,pax,booking_status,travel_date,coupon_redeem,Coupon Used?,costprice,markup,selling_price
4003,520,Dubai,2024-03-08,10,Confirmed,2024-03-27,1000,Yes,291137.6887309534,9078.398118519,299216.08684947237
4711,292,Dubai,2024-07-16,1,Confirmed,2024-08-03,500,Yes,31399.56021076382,14033.499874549516,44933.06008531334
3037,864,Dubai,2024-07-16,9,Confirmed,2024-07-27,0,No,295263.85496653314,87840.29269042255,383104.1476569557
1609,430,Bali,2024-03-22,8,Confirmed,2024-04-02,0,No,326273.58172620897,9186.513830543687,335460.09555675264
3364,614,Kerala,2024-05-03,1,Confirmed,2024-07-23,2000,Yes,18327.862097625544,4574.085301219242,20901.947398844786
1976,587,Kashmir,2024-05-29,1,Confirmed,2024-06-10,500,Yes,24411.351758823566,8438.53950731466,32349.891266138227
2928,532,Himachal Pradesh,2024-03-29,4,Confirmed,2024-04-08,0,No,84745.96378059789,4609.786519322485,89355.75029992037
1481,820,Maldives,2024-11-13,9,Confirmed,2024-12-02,1000,Yes,587495.9765745129,159803.13324709667,746299.1098216096
3172,639,Kashmir,2024-09-20,6,Confirmed,2024-11-04,0,No,139592.64904093425,21494.060754702314,161086.70979563656
4942,474,Kashmir,2024-12-14,8,Canceled,2024-12-26,500,Yes,197280.61871844664,51107.89742197213,247888.51614041877
4620,765,Kashmir,2024-02-20,4,Canceled,2024-03-09,2000,Yes,97532.02425605811,6990.886919604207,102522.91117566232
3429,853,Vietnam,2024-10-25,2,Confirmed,2024-11-18,500,Yes,72116.33755089466,31116.471861147875,102732.80941204254
1243,577,Bali,2024-12-27,5,Confirmed,2025-01-16,0,No,198336.7207945962,28770.20255841001,227106.92335300622
4491,588,Kerala,2024-11-10,9,Confirmed,2024-11-24,500,Yes,147660.39322208296,29685.154732932613,176845.54795501556
3568,527,Kashmir,2024-04-16,2,Confirmed,2024-05-01,500,Yes,53454.28936905272,5852.269409100952,58806.558778153674
1593,495,Himachal Pradesh,2024-05-31,1,Canceled,2024-06-14,0,No,19400.686111494488,2171.550457502477,21572.236568996967
3126,427,Kerala,2024-09-21,6,Confirmed,2024-10-12,1000,Yes,100977.79208434904,47946.107159072344,147923.8992434214
2381,708,Himachal Pradesh,2024-08-10,4,Confirmed,2024-10-16,500,Yes,81674.18276611413,23416.122662984522,104590.30542909865
1428,443,Dubai,2024-02-14,4,Failed,2024-03-02,500,Yes,128503.20948541343,49911.16607596557,177914.375561379
1036,666,Kerala,2024-11-12,7,Confirmed,2024-11-18,1000,Yes,138013.509004829,11620.07168633416,148633.58069116314
